Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Notes
1,Arsenal,8,8,0,0,23,4,19,24,Round of 16
2,Bayern Munich,8,7,0,1,22,8,14,21,Round of 16
3,Liverpool,8,6,0,2,20,8,12,18,Round of 16
4,Tottenham Hotspur,8,5,2,1,17,7,10,17,Round of 16
5,Barcelona,8,5,1,2,22,14,8,16,Round of 16
6,Chelsea,8,5,1,2,17,10,7,16,Round of 16
7,Sporting CP,8,5,1,2,17,11,6,16,Round of 16
8,Manchester City,8,5,1,2,15,9,6,16,Round of 16
9,Real Madrid,8,5,0,3,21,12,9,15,Knockout phase play-offs
10,Inter,8,5,0,3,15,7,8,15,Knockout phase play-offs
11,Paris Saint-Germain,8,4,2,2,21,11,10,14,Knockout phase play-offs
12,Newcastle United,8,4,2,2,17,7,10,14,Knockout phase play-offs
13,Juventus,8,3,4,1,14,10,4,13,Knockout phase play-offs
14,Atletico Madrid,8,4,1,3,17,15,2,13,Knockout phase play-offs
15,Atalanta,8,4,1,3,10,10,0,13,Knockout phase play-offs
16,Leverkusen,8,3,3,2,13,14,-1,12,Knockout phase play-offs
17,Dortmund,8,3,2,3,19,17,2,11,Knockout phase play-offs
18,Olympiacos,8,3,2,3,10,14,-4,11,Knockout phase play-offs
19,Club Brugge,8,3,1,4,15,17,-2,10,Knockout phase play-offs
20,Galatasaray,8,3,1,4,9,11,-2,10,Knockout phase play-offs
21,Monaco,8,2,4,2,8,14,-6,10,Knockout phase play-offs
22,Qarabag,8,3,1,4,13,21,-8,10,Knockout phase play-offs
23,Bodo¸/Glimt,8,2,3,3,14,15,-1,9,Knockout phase play-offs
24,Benfica,8,3,0,5,10,12,-2,9,Knockout phase play-offs
25,Marseille,8,3,0,5,11,14,-3,9,
26,Pafos FC,8,2,3,3,8,11,-3,9,
27,Union SG,8,3,0,5,8,17,-9,9,
28,PSV,8,2,2,4,16,16,0,8,
29,Athletic Club,8,2,2,4,9,14,-5,8,
30,Napoli,8,2,2,4,9,15,-6,8,
31,FC Copenhagen,8,2,2,4,12,21,-9,8,
32,Ajax,8,2,0,6,8,21,-13,6,
33,Eintracht Frankfurt,8,1,1,6,10,21,-11,4,
34,Slavia Prague,8,0,3,5,5,19,-14,3,
35,Villarreal,8,0,1,7,5,18,-13,1,
36,FC Kairat,8,0,1,7,7,22,-15,1,
